year,region,population,births,deaths
1998,Japan,125252000,1203147,936484
1998,Hokkaido,5689000,49065,41755
1998,Aomori,1475000,13594,12752
1998,Iwate,1414000,12778,12376
1998,Miyagi,2346000,22312,16408
1998,Akita,1199000,9367,11515
1998,Yamagata,1250000,11030,11498
1998,Fukushima,2129000,20743,18321
1998,Ibaraki,2961000,28602,22154
1998,Tochigi,1985000,18836,15257
1998,Gunma,1995000,19422,15784
1998,Saitama,6833000,67144,39382
1998,Chiba,5832000,54961,36410
1998,Tokyo,11639000,98960,80793
1998,Kanagawa,8298000,83104,49462
1998,Niigata,2484000,22661,21273
1998,Toyama,1119000,10117,9765
1998,Ishikawa,1179000,11642,9418
1998,Fukui,821000,8269,6750
1998,Yamanashi,881000,8578,7311
1998,Nagano,2185000,21436,18668
1998,Gifu,2089000,20447,15943
1998,Shizuoka,3718000,35921,27178
1998,Aichi,6870000,75206,44163
1998,Mie,1837000,17829,15069
1998,Shiga,1305000,14032,8952
1998,Kyoto,2590000,24312,19868
1998,Osaka,8639000,90324,59647
1998,Hyogo,5383000,54421,40931
1998,Nara,1439000,13779,10345
1998,Wakayama,1072000,9886,10037
1998,Tottori,612000,5624,5585
1998,Shimane,762000,6491,7384
1998,Okayama,1946000,19204,16340
1998,Hiroshima,2865000,27914,22705
1998,Yamaguchi,1532000,13275,14826
1998,Tokushima,829000,7255,7649
1998,Kagawa,1025000,9664,9104
1998,Ehime,1498000,13606,13683
1998,Kochi,810000,6761,8076
1998,Fukuoka,4963000,47811,38018
1998,Saga,882000,8741,7853
1998,Nagasaki,1526000,14672,13343
1998,Kumamoto,1862000,17443,15495
1998,Oita,1224000,11129,10859
1998,Miyazaki,1174000,11335,9790
1998,Kagoshima,1788000,16227,16709
1998,Okinawa,1295000,16928,7643
1999,Japan,125432000,1177669,982031
1999,Hokkaido,5684000,46680,44414
1999,Aomori,1473000,13146,13445
1999,Iwate,1411000,12420,13364
1999,Miyagi,2350000,21886,17594
1999,Akita,1194000,9168,12142
1999,Yamagata,1246000,10815,12310
1999,Fukushima,2128000,20497,19215
1999,Ibaraki,2967000,28261,23373
1999,Tochigi,1989000,18485,15851
1999,Gunma,1999000,19111,16683
1999,Saitama,6866000,65711,41067
1999,Chiba,5862000,54005,38278
1999,Tokyo,11641000,97959,85427
1999,Kanagawa,8349000,81792,51440
1999,Niigata,2480000,21812,22565
1999,Toyama,1118000,10139,10213
1999,Ishikawa,1180000,11290,9867
1999,Fukui,821000,8053,7014
1999,Yamanashi,882000,8318,7581
1999,Nagano,2187000,20765,19471
1999,Gifu,2091000,20151,16880
1999,Shizuoka,3723000,35395,28753
1999,Aichi,6903000,73738,45878
1999,Mie,1839000,17375,15232
1999,Shiga,1315000,14040,9423
1999,Kyoto,2590000,23831,20690
1999,Osaka,8641000,88385,61724
1999,Hyogo,5407000,53765,41965
1999,Nara,1441000,13158,10569
1999,Wakayama,1070000,9563,10185
1999,Tottori,612000,5352,5851
1999,Shimane,760000,6394,8204
1999,Okayama,1947000,18771,17414
1999,Hiroshima,2863000,27119,23735
1999,Yamaguchi,1528000,13138,15468
1999,Tokushima,827000,7135,8046
1999,Kagawa,1025000,9651,9325
1999,Ehime,1493000,13046,14295
1999,Kochi,808000,6649,8648
1999,Fukuoka,4974000,46682,39905
1999,Saga,881000,8551,7912
1999,Nagasaki,1521000,14121,13882
1999,Kumamoto,1862000,17109,16810
1999,Oita,1222000,10714,11438
1999,Miyazaki,1174000,10938,10141
1999,Kagoshima,1786000,15663,18060
1999,Okinawa,1306000,16680,7880
2000,Japan,125612633,1190547,961653
2000,Hokkaido,5670558,46780,43407
2000,Aomori,1472690,12920,13147
2000,Iwate,1412338,12410,12517
2000,Miyagi,2354916,22154,17127
2000,Akita,1186209,9007,12026
2000,Yamagata,1239132,10919,11842
2000,Fukushima,2118100,20332,18642
2000,Ibaraki,2954817,28220,22877
2000,Tochigi,1983723,18976,15613
2000,Gunma,1996251,19445,16144
2000,Saitama,6875484,66376,40486
2000,Chiba,5868599,55318,37238
2000,Tokyo,11850305,100209,83849
2000,Kanagawa,8390552,82906,50539
2000,Niigata,2466374,21886,21835
2000,Toyama,1113787,10170,9734
2000,Ishikawa,1174630,11467,9391
2000,Fukui,819080,8036,6931
2000,Yamanashi,877168,8374,7297
2000,Nagano,2181873,21194,19320
2000,Gifu,2081092,20276,16577
2000,Shizuoka,3714992,35794,28323
2000,Aichi,6932577,74736,45810
2000,Mie,1833408,17726,15292
2000,Shiga,1324040,14087,9232
2000,Kyoto,2599052,23997,20233
2000,Osaka,8633901,88163,61315
2000,Hyogo,5467653,54455,41724
2000,Nara,1434340,13270,10362
2000,Wakayama,1065104,9566,10225
2000,Tottori,610224,5645,5935
2000,Shimane,757072,6522,7700
2000,Okayama,1938268,19059,16907
2000,Hiroshima,2855782,27384,23188
2000,Yamaguchi,1515291,13121,15126
2000,Tokushima,821369,7224,7940
2000,Kagawa,1017973,9808,9433
2000,Ehime,1488550,13207,13757
2000,Kochi,811516,6811,8306
2000,Fukuoka,4984938,47290,38505
2000,Saga,874068,8745,7899
2000,Nagasaki,1511864,14098,13519
2000,Kumamoto,1854933,17262,15973
2000,Oita,1216436,10910,11289
2000,Miyazaki,1167555,11037,9906
2000,Kagoshima,1782567,16272,16993
2000,Okinawa,1311482,16773,7946
2001,Japan,125908000,1170662,970331
2001,Hokkaido,5666000,46236,43642
2001,Aomori,1471000,12889,13281
2001,Iwate,1409000,12272,13039
2001,Miyagi,2359000,21751,17300
2001,Akita,1180000,8874,11872
2001,Yamagata,1235000,10907,12063
2001,Fukushima,2115000,20008,19013
2001,Ibaraki,2957000,27864,23056
2001,Tochigi,1987000,18911,15692
2001,Gunma,1999000,19024,16141
2001,Saitama,6909000,65417,41467
2001,Chiba,5907000,54511,37810
2001,Tokyo,11912000,98421,84586
2001,Kanagawa,8466000,81839,51893
2001,Niigata,2462000,21301,22267
2001,Toyama,1113000,9994,9780
2001,Ishikawa,1175000,11342,9440
2001,Fukui,819000,7958,6850
2001,Yamanashi,877000,8126,7528
2001,Nagano,2186000,20889,19356
2001,Gifu,2081000,19603,16522
2001,Shizuoka,3722000,35193,28914
2001,Aichi,6970000,73057,46477
2001,Mie,1835000,17094,15052
2001,Shiga,1333000,14015,9390
2001,Kyoto,2601000,23364,20028
2001,Osaka,8649000,86000,61708
2001,Hyogo,5489000,52585,42123
2001,Nara,1434000,12768,10432
2001,Wakayama,1061000,9345,10297
2001,Tottori,610000,5595,5822
2001,Shimane,756000,6640,7666
