region,population,births,deaths
Japan,125431000,1003609,1273025
Hokkaido,5381000,37058,60019
Aomori,1318000,8853,17042
Iwate,1280000,8803,16274
Miyagi,2316000,18069,22854
Akita,1034000,5998,15096
Yamagata,1125000,7966,15032
Fukushima,1928000,14518,23496
Ibaraki,2881000,21932,30353
Tochigi,1954000,15442,20755
Gunma,1941000,14522,21441
Saitama,7143000,55765,61269
Chiba,6114000,46753,53978
Tokyo,13044000,110629,111024
Kanagawa,8967000,72997,74387
Niigata,2302000,16480,28316
Toyama,1059000,7556,12584
Ishikawa,1146000,8961,12190
Fukui,780000,6166,8817
Yamanashi,830000,6063,9755
Nagano,2083000,15848,24752
Gifu,2008000,15138,21658
Shizuoka,3651000,28684,38342
Aichi,7298000,65219,62426
Mie,1793000,13727,19525
Shiga,1397000,12729,12266
Kyoto,2569000,19583,25507
Osaka,8678000,69968,81653
Hyogo,5468000,44352,54147
Nara,1367000,9625,13835
Wakayama,967000,7140,12609
Tottori,571000,4527,7076
Shimane,692000,5359,9369
Okayama,1907000,15837,21051
Hiroshima,2801000,23776,29463
Yamaguchi,1397000,10197,17910
Tokushima,760000,5502,9853
Kagawa,974000,7745,11503
Ehime,1388000,10399,17529
Kochi,735000,5015,9984
Fukuoka,5046000,45203,49317
Saga,831000,7159,9732
Nagasaki,1380000,11323,17091
Kumamoto,1785000,15558,20461
Oita,1163000,9280,14066
Miyazaki,1110000,9509,13110
Kagoshima,1662000,14236,21413
Okinawa,1411000,16375,11362
